1|8885551418|8885557614|3106|65802|8
2|8885550630|8885552094|527|13734|2
3|8885551297|8885553060|520|7053|3
4|8885552271|8885554537|357|74181|8
5|8885552651|8885552359|155|61500|2
6|8885550860|8885556829|279|42494|3
7|8885550239|8885550516|456|41095|2
8|8885551395|8885555810|255|17840|4
9|8885550440|8885550328|1987|59904|4
10|8885551164|8885552664|3378|38405|3
11|8885551838|8885550100|185|61500|1
12|8885551289|8885557143|271|16754|0
13|8885552542|8885556038|4267|83838|7
14|8885551126|8885556144|1493|36824|4
15|8885552897|8885555570|4519|76295|7
16|8885550060|8885551082|132|68558|2
17|8885552537|8885553492|3285|58585|4
18|8885552851|8885550043|284|61480|1
19|8885552415|8885550393|276|61500|3
20|8885550245|8885557642|75|63908|0
21|8885551009|8885555455|360|73657|6
22|8885550116|8885552074|2762|56834|3
23|8885550227|8885551297|57|78024|3
24|8885551063|8885554331|5385|74741|7
25|8885551272|8885555102|334|61500|0
26|8885552877|8885554271|352|36577|2
27|8885551621|8885557835|219|8304|7
28|8885552509|8885557178|134|5363|2
29|8885550459|8885553725|254|41460|3
30|8885551779|8885551683|427|2754|2
31|8885551104|8885552804|259|33998|0
32|8885550165|8885551886|634|67570|0
33|8885551414|8885555765|352|61500|2
34|8885550602|8885550701|42|6331|4
35|8885551574|8885556124|312|61500|2
36|8885551060|8885554573|4639|61500|7
37|8885552884|8885553668|404|78077|2
38|8885550249|8885550294|695|76194|3
39|8885551322|8885552382|412|25211|1
40|8885550068|8885550285|147|16112|3
41|8885551446|8885556856|332|61500|4
42|8885552433|8885556787|61|71785|4
43|8885550645|8885550607|522|3678|5
44|8885550758|8885555116|116|59044|3
45|8885552509|8885556310|3888|22306|5
46|8885551706|8885554356|699|61500|6
47|8885550548|8885550443|491|20789|3
48|8885550801|8885556864|545|82343|1
49|8885550547|8885551353|384|75464|11
50|8885551313|8885551402|2856|43337|3
51|8885551046|8885554489|674|50182|3
52|8885551738|8885554134|282|37192|1
53|8885551392|8885557950|255|78390|4
54|8885551737|8885557290|225|85160|0
55|8885551964|8885556442|514|85756|1
56|8885552787|8885555167|392|64869|3
57|8885551366|8885551849|457|61500|1
58|8885550621|8885552752|226|69526|0
59|8885550543|8885554382|3626|61500|2
60|8885552345|8885553061|60|71827|0
61|8885550206|8885556061|2470|41782|4
62|8885550296|8885557120|41|61500|3
63|8885550631|8885552542|405|11275|5
64|8885550631|8885556694|392|26001|3
65|8885550892|8885557320|200|42504|2
66|8885552155|8885556244|45|65221|0
67|8885552583|8885556011|205|60853|5
68|8885551365|8885554592|356|32162|7
69|8885551716|8885557903|4690|12901|7
70|8885550726|8885552437|346|49401|2
71|8885551711|8885557175|4899|61500|7
72|8885552711|8885550897|127|62394|3
73|8885551723|8885553306|422|21898|0
74|8885552338|8885550994|3622|2127|0
75|8885551252|8885556212|681|71216|1
76|8885552586|8885551073|266|17135|2
